,Surname,Surname Number,Awards,DBLP,Education Text,Text Vector
10,Ramesh C Jain,1125,0,68,"Ramesh Jain has been a researcher, an entrepreneur, and an educatorHe served in academic positions at many universitiesHis research interests started in cybernetic systems","[-0.7907939  -0.4318702  -0.06375404  0.283021   -0.5643403  -0.3215056
 -0.09842397 -0.47969627  0.70999277  0.3256048  -0.14304058 -0.05470522
 -0.16492791 -0.2558376  -0.07803351  0.14631891 -0.52193314  0.0178375
  0.12953433  0.25917816  0.29693264 -0.31533608  0.3723517   0.6577088
  0.21557422 -0.3731731   0.9489638  -0.17030542  0.20900163 -1.094226
  0.22512604 -0.24640095  0.14078358  0.41671243  0.13312252 -0.7424304
  0.5352048  -0.22088344  0.47388014  0.8939233  -0.11747627 -0.75716937
 -0.07577945  0.51406276 -0.22608562  0.16247162 -0.08289424  0.7207133
 -0.5652781   0.27139613 -0.62872344 -0.08949564  0.6643227   0.2434122
 -0.12829721  0.05860216  0.28721827 -0.9667398   0.5599162   0.15121242
  0.4319243   0.35142395  0.1862039   0.0565915   0.35352743  0.7683591
  0.31335095  0.5292894  -0.39712262  0.45286092 -0.5624229   0.5638598
 -0.1342458  -0.2781299   0.38105038 -0.09330213  0.11871336  0.6209501
 -0.7931812  -0.05188076  0.34572405 -0.10567858  0.21722716  1.0440553
  0.20314157  0.32492203 -0.17039812  0.19233899 -0.30228874  0.17890938
 -0.23320688  0.3752151  -0.24900034  0.05664238  0.03883959  0.90581256
 -0.18497922 -0.31900698  0.507891    0.68556947]"
11,Shafi Goldwasser,1574,11,53,"Born in      New York City New York City, Goldwasser obtained her      Bachelor of Science Bachelor of Science degree in 1979 in mathematics and science from      Carnegie Mellon University Carnegie MellonGoldwasser joined      Massachusetts Institute of Technology MIT in 1983, and in 1997 became the first holder of the RSA ProfessorshipGoldwasser's research areas include      Computational complexity theory computational complexity theory,      cryptography and      Computational number theory computational number theoryIn 2018, Goldwasser was awarded an honorary degree by her alma mater,      Carnegie Mellon University Carnegie Mellon University","[-0.16494812  0.11493792  0.38086447  0.5720925  -0.6349866  -0.4880385
  0.03182139  0.24546891  0.04302781  0.15640864  0.4597686  -0.51332325
 -0.5481189  -0.33444437 -0.48732355  0.75901794 -0.81697756 -0.1952653
 -0.00926682  0.4746209  -0.13576442 -0.20785755 -0.37061504  0.33493674
  0.29603902  0.24924336  0.81020445  0.24388629  0.23236685 -0.0763221
  0.29799044  0.01407054  0.2104409  -0.31968215 -0.43339092 -0.08372455
  0.2585108  -0.11048412  0.35820818  0.5478034   0.45458025 -0.82940876
 -0.1612687   0.5870808  -0.23892447 -0.32350925  0.34806752  0.336982
 -0.3045221   0.14743865 -0.07353929 -0.5376867   0.05032944  0.41637874
 -0.09081641 -0.04960075  0.3740954  -0.01732255  0.9555139  -0.712599
 -0.3806498  -0.07648883  0.23004682 -0.34788647  0.28886756  0.76881856
  0.609258    0.21841295 -0.53353685  0.69040316 -0.65051496  0.6624869
  0.25948086 -0.15351592  0.2534977  -0.89974636  0.4822202   0.224823
 -0.63761926  0.45415694 -0.45170078 -0.44914907  0.00936756  0.8390035
  0.29495716  0.18775925  0.12933405 -0.10555759 -0.47839546 -0.03566428
 -0.1799751   0.5747383  -0.69039017 -0.08939773  0.04050159  0.77082723
  0.11868311 -0.45553362  0.18611498  0.84381324]"
12,John Vincent Atanasoff,2105,1,26,He continued his education at      Iowa State University Iowa State College and in 1926 earned a   ,"[-3.2697192e-01 -2.6449604e-02 -2.4165367e-01  5.7782072e-01
 -8.0276358e-01 -1.6527382e-01 -5.3389823e-01  1.0207040e+00
  4.3463659e-01  3.8226184e-01 -2.8985420e-01 -1.0434798e+00
 -4.3065422e-05  7.9846150e-01 -1.7787026e-01  1.4623703e-01
 -4.2804700e-01  2.1831581e-01 -1.9599902e-03  1.5309286e-01
  3.4283212e-01  7.2936964e-01 -3.3193466e-01  8.1425697e-01
  4.4079599e-01  5.7672709e-01  3.3306625e-01  7.7832079e-01
  2.9425966e-02 -2.4205673e-02 -1.4849135e-01 -2.9410294e-01
 -4.3250054e-01  8.6026013e-01 -2.4026407e-01 -4.9796435e-01
  5.7979429e-01 -6.2505597e-01  9.1640592e-02  1.1901785e+00
  3.1254098e-01 -7.7638870e-01 -1.1074523e+00  5.7283968e-01
 -5.7342237e-01 -4.3444178e-01  6.3550729e-01  5.9714127e-01
 -4.5381922e-01  5.2243549e-01 -5.4209501e-01 -3.0851501e-01
 -9.5314808e-02  1.4235017e-01  3.5450092e-01  2.5026169e-01
  5.8424240e-01 -5.2646226e-03  1.5766040e+00 -1.3390685e+00
 -1.1729974e+00 -1.7343031e-01  1.7688151e-01 -3.8206276e-01
 -2.3886918e-01  1.5882351e+00  3.3183151e-01 -3.8313031e-02
 -1.6486754e-01  1.0074655e+00 -8.4562075e-01  9.7497243e-01
  1.1417172e+00 -1.1158656e+00 -2.7105266e-01 -1.5756029e+00
  8.4763151e-01 -9.0326384e-02 -1.5676607e+00  1.2607353e+00
 -9.7481740e-01 -2.6001748e-01 -5.6923509e-02  9.8086154e-01
  8.8353962e-01  7.0068222e-01  4.2626008e-01 -3.3482742e-01
 -9.6946001e-01  2.7382809e-01  2.2490434e-01  1.2190217e+00
 -7.4470317e-01  2.9332416e-02  3.3951634e-01  8.2133073e-01
 -9.4034150e-03 -4.5260331e-01 -1.8760815e-01  1.1829611e+00]"
13,Manolis Kellis,1367,3,10,"In addition to his research, Kellis taught for several years MIT's required undergraduate introductory      algorithm courses 6He is also teaching a      Computational biology computational biology course at MIT, titled  Computational BiologyKellis received the US      Presidential Early Career Award for Scientists and Engineers Presidential Early Career Award for Scientists and Engineers (PECASE),          the      redirect    National Science Foundation CAREER Awards National Science Foundation CAREER award,          a      Sloan Research Fellowship Sloan Research Fellowship,          the      Gregor Mendel Gregor Mendel Medal for Outstanding Achievements in Science by the      Mendel Lectures Mendel Lectures committee, the Athens Information Technology (AIT) Niki Award for Science and Engineering,          the Ruth and Joel Spira Teaching award,         Kellis received the US      Presidential Early Career Award for Scientists and Engineers Presidential Early Career Award for Scientists and Engineers (PECASE),          the      redirect    National Science Foundation CAREER Awards National Science Foundation CAREER award,          a      Sloan Research Fellowship Sloan Research Fellowship,          the      Gregor Mendel Gregor Mendel Medal for Outstanding Achievements in Science by the      Mendel Lectures Mendel Lectures committee, the Athens Information Technology (AIT) Niki Award for Science and Engineering,          the Ruth and Joel Spira Teaching award,         Kellis received the US      Presidential Early Career Award for Scientists and Engineers Presidential Early Career Award for Scientists and Engineers (PECASE),          the      redirect    National Science Foundation CAREER Awards National Science Foundation CAREER award,          a      Sloan Research Fellowship Sloan Research Fellowship,          the      Gregor Mendel Gregor Mendel Medal for Outstanding Achievements in Science by the      Mendel Lectures Mendel Lectures committee, the Athens Information Technology (AIT) Niki Award for Science and Engineering,          the Ruth and Joel Spira Teaching award,         ","[-0.3522074  -0.09280586  0.3751853   0.6191393  -0.52697176 -0.64689535
 -0.12290282 -0.54182905 -0.03062536  0.49733493  0.3810823  -0.24455787
 -0.24779043 -0.49936035 -0.23148696  0.32950988 -0.78568226  0.13362761
  0.35652333  0.45508695  0.08741675  0.24458222 -0.48007572  0.12062
  0.32659546  0.28433308  0.781731    0.04491915  0.12542316 -0.09704589
  0.68960834 -0.12446059  0.41515663 -0.05111334 -0.6135834  -0.05327459
 -0.01641434 -0.374562    0.13063197  0.8195749   0.02147475 -0.68411607
 -0.38596648  0.39026368 -0.0363042  -0.16355513  0.3888352   0.46525174
  0.1519187   0.2732971   0.01675427 -0.3691661  -0.53550375  0.08799154
 -0.24853069  0.23578149  0.4667777  -0.84211385  1.3133081  -0.95871794
 -0.18735811  0.10487181  0.20191047 -0.21237251  0.9920849   0.65591407
  0.8375987   0.25944814 -0.50475097  1.1312836   0.16780253  0.7616436
  0.2711758   0.38100415  0.00973835 -0.38052815  0.8084149   0.7104796
 -0.7896757  -0.07468729 -0.4011613  -0.28484285  0.02354173  0.5904091
  0.35226345  0.10738477  0.34694     0.15982737 -0.6219991   0.20347784
 -0.7523425   0.4481863  -0.12740529  0.3082137  -0.20305264  0.99045837
 -0.09382029 -0.21551995 -0.11251649  1.1192974 ]"
14,Ted Kaehler,1017,0,61,"Kaehler was also documented as one of the researchers at PARC who briefed      Steve Jobs Steve Jobs about the company's three innovationsIn March 1985, Kaehler moved to Apple as a researcher","[ 0.0937672   0.11077899  0.46562302  1.0148865  -0.18981735  0.23098473
 -0.20445696  0.02858922  0.79610753 -0.3311442   0.02857905 -0.35842827
 -0.0884009   0.23731682 -0.36299    -0.07566283 -0.7324862  -0.37737983
  0.3530396   0.9037737  -0.2596742   0.91190577 -0.09231871  0.0840815
 -0.24484456  0.49216998  0.405149    0.16291337  0.69323957 -0.6229105
  0.22513016 -0.26172352  0.24522701 -0.07653802 -0.5484394  -0.50074804
  0.27270067 -0.8654929  -0.34225917  0.16124249 -0.25973538 -0.4731549
 -0.39573133 -0.24021338 -0.08874609  0.08670458 -0.07756656  0.3738614
 -0.24749367  0.18877956 -0.01666287  0.02986136 -0.00882618 -0.13287385
  0.37564862  0.49375156 -0.06821555 -0.95508164  0.8275544  -0.723404
  0.02614424  0.4194272   0.1335594  -0.01391972  0.03405141  0.41255596
 -0.23511349  0.5637962  -0.4338776   0.14062455  0.25021175  0.7716547
 -0.05963376 -0.18559247  0.31401432 -0.37145767  0.2638068   0.8269812
 -0.7847465   0.49750018 -0.15590423 -0.35234463 -0.19438714  0.70546746
  0.15698667 -0.24182326 -0.06332535 -0.4838929  -0.08545233  0.31758296
 -0.51955444  0.70911306 -0.48570502 -0.09308341  0.03469164  0.4375721
 -0.23108183  0.24826708 -0.02946119  0.38154566]"
15,Peter Ružička,1703,0,14,"Ruzicka graduated from      redirect    Comenius University in Bratislava Comenius University in Bratislava in 1970In 2003, he was appointed a Professor in Informatics at the      redirect    Comenius University in Bratislava Comenius University in BratislavaIn 2003, he was appointed a Professor in Informatics at the      redirect    Comenius University in Bratislava Comenius University in BratislavaThroughout his career, Ruzicka was a      redirect    Visiting professor visiting professor at      Northeastern University Northeastern University,      Humboldt University of Berlin Humboldt University of Berlin,      Carleton University Carleton University,      redirect    University of Paderborn University of Paderborn,      RWTH Aachen University RWTH Aachen University,      Utrecht University Utrecht University,      redirect    Technion University Technion University and many othersThroughout his career, Ruzicka was a      redirect    Visiting professor visiting professor at      Northeastern University Northeastern University,      Humboldt University of Berlin Humboldt University of Berlin,      Carleton University Carleton University,      redirect    University of Paderborn University of Paderborn,      RWTH Aachen University RWTH Aachen University,      Utrecht University Utrecht University,      redirect    Technion University Technion University and many othersCommittee for Academic and Scientific Literature and Computer Programmes of the Slovak Literary Fund granted to Peter Ruzicka in memoriam and collective, Award of acknowledgement for Academic and Scientific Literature for 2005 in the category of Natural and Technical Sciences for the book Dissemination of Information in Communication NetworksCommittee for Academic and Scientific Literature and Computer Programmes of the Slovak Literary Fund granted to Peter Ruzicka in memoriam and collective, Award of acknowledgement for Academic and Scientific Literature for 2005 in the category of Natural and Technical Sciences for the book Dissemination of Information in Communication NetworksPeter Ruzicka has authored and authored numerous publications and books","[-0.60569745  0.23655441  0.03915618  0.72668934 -0.34681234 -0.2656616
 -0.09185409  0.4820245  -0.02234086  0.19086814  0.10193735 -0.83017147
 -0.5705533  -0.09829128 -0.4695938   0.6016955  -0.3479884   0.10509896
  0.02851584  0.3095968  -0.10946154  0.08038542 -0.6656743   0.4322859
  0.23526743  0.31016305  0.39499864  0.01474201 -0.05715413  0.0660826
  0.09174717 -0.13162139  0.1843884   0.28362763 -0.35584912  0.11385775
  0.00764558 -0.38829806  0.3659342   0.44433436  0.31407243 -0.6263264
 -0.16798472  0.5644288  -0.41346395 -0.2383941   0.15062676  0.4688111
 -0.2653031   0.48999065 -0.01161608 -0.27837858  0.02329787  0.16496727
 -0.0022805  -0.11972427  0.36605358  0.05912191  1.0288563  -0.619933
 -0.8146711  -0.08390588  0.0166459  -0.33372632  0.40480512  1.244145
  0.50125504  0.7129323  -0.45933402  0.87756974 -0.79281807  1.0370035
  0.06479673 -0.6572468   0.11629011 -1.0391241   0.52685845  0.26874858
 -0.46877465  0.52685755 -0.79614925 -0.20481035 -0.00669353  0.43287432
  0.37821892  0.42651048  0.36713183  0.0608675  -0.7025234  -0.08892042
 -0.17359383  0.7506415  -0.5478484  -0.08549643  0.08821222  0.86009437
  0.30934402 -0.25624388  0.10095538  0.90352124]"
16,Christopher Riche Evans,2227,0,69,"In 1979, Christopher Evans wrote a book about the oncoming      redirect    Microcomputer revolution microcomputer revolution,   His other books include      Cults of Unreason Cults of Unreason, a study of      Scientology and other      pseudoscience, and Landscapes of the Night","[ 2.69148827e-01  4.31798398e-05 -5.11188395e-02  1.14661232e-01
  7.05814436e-02  5.33317886e-02 -2.81986535e-01  1.40295208e-01
 -7.64067620e-02  7.13397622e-01  1.26776500e-02 -4.87593338e-02
 -7.40689933e-01 -1.29941981e-02 -7.33896375e-01  6.16742671e-01
 -1.39238834e-02 -1.93309560e-01 -7.07921386e-02  8.78854990e-01
 -6.13769293e-01 -1.25726566e-01 -1.57560810e-01 -4.33929265e-03
  4.42208588e-01  1.58408105e-01  1.11180377e+00 -1.71154544e-01
 -9.70696956e-02 -3.01709950e-01  3.01286936e-01 -5.37419081e-01
 -2.34961689e-01 -3.63703758e-01 -2.93335617e-01 -5.44602633e-01
  2.96105623e-01 -6.41208664e-02  6.25072300e-01  3.11885774e-01
 -7.88418651e-02 -2.15240091e-01  1.77765459e-01  7.05481321e-02
  6.89373259e-03 -1.49684651e-02 -3.44952822e-01  4.40034509e-01
  3.38620134e-03 -2.15860173e-01  4.81644750e-01  4.49042320e-01
 -4.40878361e-01  3.85093242e-01 -1.88289955e-03  2.76486203e-03
  4.13148373e-01 -3.53459150e-01  5.30642867e-01 -3.92114818e-01
  9.84121673e-03  2.22169176e-01  3.74796510e-01  3.18569034e-01
  2.68825740e-01  3.21101993e-01  1.87826216e-01  9.54311341e-04
 -5.72318956e-02  7.46317863e-01 -3.02851945e-01  5.25365651e-01
 -3.03108424e-01 -4.74451929e-01  9.79404524e-02 -4.99419808e-01
  4.50797617e-01  6.04071498e-01 -1.98744655e-01 -6.96590096e-02
 -4.17622387e-01 -2.28143767e-01 -4.73015100e-01 -3.86359841e-01
  1.10891566e-01  5.02503633e-01  4.93350536e-01  3.00554931e-03
  2.82848597e-01  2.11246967e-01 -6.04961991e-01  4.97015834e-01
  1.23225719e-01 -3.77142429e-03  2.93171644e-01  9.00028795e-02
 -1.60759136e-01  3.52718271e-02 -1.42337784e-01  2.80534923e-01]"
17,Barbara Engelhardt,1737,1,36,"Engelhardt received a      Bachelor of Science Bachelor of Science in      redirect    Symbolic Systems Symbolic Systems and a      Master of Science Master of Science in Computer Science from      Stanford University Stanford UniversityEngelhardt worked as a      Postdoctoral researcher postdoctoral researcher at the      University of Chicago University of Chicago in the Department of Human Genetics with   Engelhardt worked as a      Postdoctoral researcher postdoctoral researcher at the      University of Chicago University of Chicago in the Department of Human Genetics with   In her faculty position, the bulk of Engelhardt's research focused on developing latent variable models and exploratory data analysis for genomic data,          and also on statistical models for association testing in expression      Quantitative trait locus QTLsPost tenure, Engelhardt's research in these latent variable models has expanded to include single cell sequencing, with a particular focus on spatial transcriptomicsEngelhardt's research has been funded by the      National Institutes of Health National Institutes of Health through two R01 grants and a number of other mechanismsEngelhardt's postdoctoral work was partly funded through an NIH NHGRI K99 grant,          and her PhD was partly funded through an NSF Graduate Research Fellowship and the Google Anita Borg Scholarship in 2005","[-0.13082923 -0.0815425  -0.13657218  0.46576637 -0.50300854 -0.11053913
 -0.18240298 -0.3157694   0.37027207  0.24466348  0.16317427 -0.17736135
 -0.32887575 -0.32271576 -0.5910925   0.6816279  -0.368507   -0.03005607
  0.1336714   0.50199753 -0.273822   -0.15533811 -0.12446482 -0.01714488
  0.25507244  0.00958151  1.0741341   0.04672792  0.22094838 -0.29617456
  0.62086284 -0.0544871   0.03991806 -0.01758943 -0.2896019  -0.5851897
  0.11194474 -0.32124862  0.5416305   0.34859377  0.19396402 -0.72812533
 -0.12569754  0.22405888 -0.13311793 -0.00883532  0.23008141  0.27711043
 -0.3362685   0.2822816  -0.160343   -0.18967192  0.1982789   0.34589726
  0.00231019  0.09578124  0.20529035 -0.23199679  0.9300852  -0.39444932
 -0.16167307 -0.18905243  0.13466881 -0.04069581  0.4607313   0.8094393
  0.43165624  0.17209227 -0.17090152  0.79606164 -0.56330895  0.7201353
  0.12284723 -0.10733579  0.33228484 -0.53115636  0.2616458   0.6607706
 -0.70785666  0.22292961  0.19282654 -0.09098342 -0.10061215  0.55513674
  0.23991613  0.10188682 -0.17294864  0.20415586 -0.32962787 -0.16444093
 -0.29744858  0.63892007 -0.47321537  0.0645025   0.0782578   0.60840017
  0.11826331 -0.44785595  0.09927386  0.5815589 ]"
18,Jim Gray,723,3,76,"Gray was born in      San Francisco San Francisco, the second child of Ann Emma Sanbrailo, a teacher, and James Able Gray, who was in the   After being turned down for the      redirect    Air Force Academy Air Force Academy he entered the      University of California, Berkeley University of California, Berkeley as a freshman in 1961Gray pursued his career primarily working as a researcher and      Software design software designer at a number of industrial companies, including      IBM,      Tandem Computers Tandem Computers, and      Digital Equipment Corporation DECThe      University of California, Berkeley University of California, Berkeley and Gray's family hosted a tribute on May 31, 2008Each year,      Microsoft Research Microsoft Research presents the Jim Gray eScience Award to a researcher who has made an outstanding contribution to the field of   ","[-0.28256848  0.09427579  0.22887738  0.6097764  -0.31012553 -0.10283576
 -0.2118322  -0.1926855   0.52439326 -0.06906496  0.03395326 -0.52174056
 -0.32235464 -0.12646379 -0.5241322   0.12007868 -0.2591897   0.01241042
  0.15060951  0.38821125 -0.03766805  0.58299106 -0.02555178  0.30729464
  0.10056093  0.4186252   0.51005054  0.36333835  0.36267942 -0.17405874
  0.57711333 -0.08407156  0.07539041 -0.07204745 -0.2510888  -0.40680632
  0.00388626 -0.51636004 -0.09648623  0.27159876  0.22753352 -0.8987988
 -0.4801307   0.25812453 -0.09205697 -0.19432287  0.00166548  0.29699165
 -0.2705963   0.15805058  0.08175792 -0.25470772 -0.06589692  0.16387811
  0.20268054  0.10070087  0.19051202 -0.50829196  0.8928548  -0.5842219
 -0.34350955  0.25335318  0.01434265 -0.01497075  0.32342255  0.7019645
  0.2696617   0.39050037 -0.44225293  0.51364046 -0.16578494  0.8868511
  0.12842914 -0.17068271  0.50629514 -0.7284201   0.2865973   0.33605906
 -0.7218912   0.40581304 -0.34751064 -0.12826572  0.04624646  0.8858513
  0.08486278  0.00671716 -0.0101117  -0.22940388 -0.05121419  0.10656523
 -0.3112034   0.48726794 -0.42877814 -0.05809124  0.31825826  0.54090416
 -0.08009679 -0.04982954 -0.06780289  0.39735934]"
19,Louis Hodes,1055,0,28,"In 1966 he moved into related research, specifically at      National Institutes of Health National Institutes of Health and later the      National Cancer Institute National Cancer Institute where he turned his interest in visual pattern recognition to      Medical imaging medical imaging applications","[-0.03939472 -0.02471853 -0.04164612  0.5908294  -0.40019402 -0.39235696
 -0.48091564 -0.7289197   0.24500418  0.86949986 -0.17137347  0.01287026
  0.1120074   0.09568892 -0.38265023  0.32573897 -0.40453488  0.04644335
  0.26801854  0.48271817  0.18781857 -0.48485246 -0.6912611   0.03552606
  0.5322851   0.02011437  0.8791131   0.29356158  0.0509619  -0.27028263
  0.87213147  0.16595927  0.40512043  0.31091037  0.3660012  -0.46798205
  0.0299178  -0.58542216  0.66920465  0.4632779   0.15113583 -0.5474869
 -0.8370783  -0.06692959 -0.17210831  0.33395034  0.54828537  0.21020469
 -0.10528322  0.43095112 -0.23790038 -0.15178226  0.1249874   0.374798
 -0.09675256  0.16882893  0.50128615 -0.14797917  1.2892044  -0.61080176
 -0.36746126 -0.00605528 -0.1955431  -0.4129722   0.3432636   0.5505706
  0.77948815  0.3549859  -0.32664162  1.5427356  -0.7162181   1.3049687
  0.51447177 -0.1148885   0.42461914 -0.24592209  0.62109643  0.7255894
 -1.0443698   0.2272865   0.06060196 -0.10948529 -0.21036899  0.7636854
  0.09692069 -0.01769503 -0.05959088  0.03195464 -0.41003838 -0.04615091
 -0.17275484  0.63485575 -0.2976687   0.02557933  0.26693282  0.6274714
  0.07796731 -0.7528507  -0.22278807  1.2648041 ]"
20,Joyce K. Reynolds,1539,0,45,Reynolds held bachelor's and master's degrees in social sciences from the      University of Southern California University of Southern California,"[-0.28897068  0.30662692 -0.20722395  0.77670974 -0.7021094   0.16109598
 -0.15712874  0.45166463  0.23472121  0.21457677  0.05864631 -0.4866157
 -0.47245827  0.11731839 -0.50313324  0.9697833  -0.18576553  0.0646341
 -0.6013863   0.20607547 -0.05573283  0.22192067 -0.25218153  0.6468712
  0.19039643  0.37499514  0.6735104   0.72735596 -0.03799333  0.21749702
  0.40449277 -0.62927276 -0.14250262  0.457296   -0.6616252  -0.53137785
  0.36642918 -0.61253226  0.36880723  0.8082846   0.24039422 -0.6618842
 -0.32537997  0.08615021 -0.08691567 -0.402487    0.5573494   0.37693042
 -0.15852751  0.903548   -0.3090077  -1.0932746   0.33060864 -0.03298116
  0.10221356 -0.5846984   0.83241194  0.05377185  1.4758822  -0.39598915
 -1.0231754  -0.43140757 -0.02170811 -0.22875394  0.08716468  1.2692356
  0.6681483   0.42111567 -0.7813481   0.97014475 -0.86647457  1.2301848
  0.04293089 -0.8255996  -0.09794316 -1.5901432   0.11106761  0.29043007
 -0.653013    0.96961784 -0.910212   -0.44179344  0.25867507  0.5011562
  0.15198001  0.55430204  0.08846214 -0.43476823 -0.5868085  -0.59320724
  0.02993033  0.6582497  -0.66819     0.0331025   0.17074141  0.11392903
  0.21750772 -0.52121454  0.00558389  0.7288892 ]"
21,Edward Hance Shortliffe,2188,0,70,"He has held administrative positions in academic medicine, research and national bodies including the      redirect    Institute of Medicine Institute of Medicine,      American College of Physicians American College of Physicians, the      National Science Foundation National Science Foundation,      National Institutes of Health National Institutes of Health, and      redirect    National Library of Medicine National Library of Medicine (NLM), and been influential in the development of medicine, computing and biomedical informatics nationally and internationallyIn March 2007, he became founding dean of the      University of Arizona University of Arizona's relIn 1980 he founded one of the earliest formal degree programs in biomedical informatics at Stanford University, emphasizing a rigorous and experimentalist approachIn 2000 he moved to      Columbia University Columbia University as chair of the department of biomedical informatics, deputy vice president (     redirect    Columbia University Medical Center Columbia University Medical Center), senior associate dean for strategic information resources (College of Physicians and Surgeons), professor of medicine, professor of computer science, and director of medical informatics services for the New Presbyterian HospitalIn 2000 he moved to      Columbia University Columbia University as chair of the department of biomedical informatics, deputy vice president (     redirect    Columbia University Medical Center Columbia University Medical Center), senior associate dean for strategic information resources (College of Physicians and Surgeons), professor of medicine, professor of computer science, and director of medical informatics services for the New Presbyterian HospitalFrom March 2007 until May 2008 he served as the founding dean of the Phoenix campus of the University of Arizona's College of Medicine and from November 2009 to October 2011 he served as professor in the School of Biomedical Informatics at the University of Texas Health Sciences Center in Houston, TexasFrom March 2007 until May 2008 he served as the founding dean of the Phoenix campus of the University of Arizona's College of Medicine and from November 2009 to October 2011 he served as professor in the School of Biomedical Informatics at the University of Texas Health Sciences Center in Houston, TexasFrom March 2007 until May 2008 he served as the founding dean of the Phoenix campus of the University of Arizona's College of Medicine and from November 2009 to October 2011 he served as professor in the School of Biomedical Informatics at the University of Texas Health Sciences Center in Houston, TexasHe has served on the oversight committee for the Division of Engineering and Physical Sciences (National Academy of Sciences) and the Biomedical Informatics Expert Panel (     National Center for Research Resources National Center for Research Resources at the National Institutes of Health)He is the author of more than 300 publications including seven books","[-0.21554118  0.4864036   0.06450437  0.6884876  -0.50854135 -0.10293253
 -0.18483129  0.13490275  0.11549744  0.13102013  0.317761   -0.45841557
 -0.21037053 -0.0232537  -0.61438     0.556729   -0.29013154  0.10631939
  0.15034123  0.33763853  0.20016652  0.26088423 -0.46163967  0.307431
  0.28836063  0.339434    0.75519615  0.3078383   0.03716568 -0.0902212
  0.43792674 -0.30287543  0.23481324  0.13006212 -0.06865822 -0.46289197
  0.18331382 -0.7071397   0.30245972  0.7143249   0.2149982  -0.4519508
 -0.7162592   0.210331   -0.55360144 -0.1493171   0.22997591  0.52600193
 -0.08875106  0.5051947  -0.09574216 -0.42857665 -0.13241266  0.3338838
  0.00652954 -0.02463264  0.48252234 -0.4210507   1.2372639  -0.6820589
 -0.6016853  -0.08106496  0.05295506 -0.37558532  0.43717223  1.1704026
  0.6993572   0.2115462  -0.34480217  0.999904   -0.68374217  1.1724786
  0.31164485 -0.50565344 -0.14564177 -0.7733297   0.45483664  0.6924882
 -0.7230078   0.30122024 -0.5100458   0.13985014  0.14269488  0.5783936
  0.27583578  0.3277621  -0.06417584 -0.1514468  -0.46163616  0.1129779
 -0.2627276   0.8321442  -0.53660655 -0.03659966  0.22319499  0.7350571
  0.16417557 -0.39108932 -0.20414646  0.9764991 ]"
